FIPS ,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016"
15001,HI,Hawaii ,185079,186933,188765,191147,193885,196156,198449
15003,HI,Honolulu ,953207,966279,975909,984730,988586,993166,992605
15005,HI,Kalawao ,90,90,89,89,89,88,88
15007,HI,Kauai ,67091,67803,68558,69628,70540,71478,72029
15009,HI,Maui ,154834,156759,158499,160887,163249,164269,165386
16001,ID,Ada ,392365,401118,408899,416177,426420,433467,444028
16003,ID,Adams ,3976,3982,3909,3827,3850,3839,3900
16005,ID,Bannock ,82839,83584,83806,83467,83516,83911,84377
16007,ID,Bear Lake ,5986,5962,5901,5955,5940,5901,5945
16009,ID,Benewah ,9285,9168,9125,9022,9067,9035,9092
16011,ID,Bingham ,45607,45911,45526,45412,45191,44976,45201
16013,ID,Blaine ,21376,21085,21107,21278,21410,21548,21791
16015,ID,Boise ,7028,7000,6800,6727,6793,7012,7124
16017,ID,Bonner ,40877,40824,40436,40668,41511,41796,42536
16019,ID,Bonneville ,104234,105832,106874,107460,108381,109997,112232
16021,ID,Boundary ,10972,10830,10838,10869,10984,11334,11681
16023,ID,Butte ,2891,2805,2722,2626,2609,2501,2501
16025,ID,Camas ,1117,1104,1080,1044,1037,1065,1072
16027,ID,Canyon ,188923,191376,193742,198673,202710,207086,211698
16029,ID,Caribou ,6963,6853,6773,6819,6819,6765,6887
16031,ID,Cassia ,22952,23160,23291,23365,23547,23497,23504
16033,ID,Clark ,982,951,874,862,874,872,860
16035,ID,Clearwater ,8761,8620,8579,8582,8503,8479,8497
16037,ID,Custer ,4368,4353,4349,4242,4150,4087,4096
16039,ID,Elmore ,27038,26215,26265,26236,26208,25790,26018
16041,ID,Franklin ,12786,12820,12826,12842,12956,13033,13406
16043,ID,Fremont ,13242,13132,12986,12903,12836,12813,12943
16045,ID,Gem ,16719,16720,16688,16681,16807,16907,17184
16047,ID,Gooding ,15464,15372,15238,15109,15060,15193,15185
16049,ID,Idaho ,16267,16468,16407,16211,16221,16260,16156
16051,ID,Jefferson ,26140,26335,26658,26842,26988,27153,27839
16053,ID,Jerome ,22374,22522,22491,22552,22719,22716,22994
16055,ID,Kootenai ,138494,141025,142311,144299,147294,150364,154311
16057,ID,Latah ,37244,37884,38187,38274,38583,38723,39196
