FIPS ,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016"
29189.0,MO,St. Louis ,998954.0,998999.0,1000530.0,1000778.0,1001207.0,1001705.0,998581.0
29195.0,MO,Saline ,23370.0,23327.0,23473.0,23227.0,23279.0,23109.0,22980.0
29197.0,MO,Schuyler ,4431.0,4391.0,4390.0,4365.0,4398.0,4434.0,4394.0
29199.0,MO,Scotland ,4843.0,4848.0,4889.0,4919.0,4865.0,4859.0,4932.0
29201.0,MO,Scott ,39191.0,39127.0,39138.0,39205.0,38878.0,39004.0,38745.0
29203.0,MO,Shannon ,8441.0,8420.0,8324.0,8271.0,8286.0,8233.0,8168.0
29205.0,MO,Shelby ,6373.0,6246.0,6238.0,6163.0,6126.0,6132.0,6082.0
29207.0,MO,Stoddard ,29968.0,29850.0,29843.0,29855.0,29867.0,29786.0,29588.0
29209.0,MO,Stone ,32202.0,31862.0,31619.0,31334.0,31084.0,30902.0,31047.0
29211.0,MO,Sullivan ,6714.0,6674.0,6559.0,6484.0,6453.0,6323.0,6262.0
29213.0,MO,Taney ,51675.0,52636.0,52939.0,53295.0,53961.0,54333.0,54735.0
29215.0,MO,Texas ,26008.0,25937.0,25757.0,25639.0,25628.0,25651.0,25775.0
29217.0,MO,Vernon ,21159.0,20989.0,20783.0,20908.0,20963.0,20803.0,20723.0
29219.0,MO,Warren ,32513.0,32625.0,32791.0,33038.0,33273.0,33545.0,33802.0
29221.0,MO,Washington ,25195.0,25104.0,25108.0,25165.0,25105.0,24795.0,24839.0
29223.0,MO,Wayne ,13521.0,13385.0,13378.0,13422.0,13393.0,13373.0,13139.0
29225.0,MO,Webster ,36202.0,36311.0,36343.0,36492.0,36906.0,37526.0,38106.0
29227.0,MO,Worth ,2171.0,2130.0,2084.0,2085.0,2061.0,2051.0,2024.0
29229.0,MO,Wright ,18815.0,18643.0,18620.0,18430.0,18298.0,18257.0,18286.0
29510.0,MO,St. Louis city,319294.0,319144.0,319085.0,317947.0,316840.0,314875.0,311404.0
